"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00130200","1965","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","416.4","","416.4","0","105","0","68","0","67","","12","0","22","0","144","0","54","0","148","0","12","0","-25.6","0,0130,","305",",0,0325,+","178",",0,0302,","52.8",",0,0526,","36.7","0,0813,","-1.1","0,1012","-2.8","0,1024","-7.8","0,1109","-7.8","0,1109","-8.9","0,1114","-0.6","0,0419","-7.8","0,0330","-7.8","0,0330","-7.8","0,0330","-13.9","0,0326","","","","","914.2",",0","1032",",0","8.81","0","14.61","0","3.01","0"
"USC00130200","1966","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","409.4","","409.4","0","71","0","37","0","33","","5","0","24","0","154","0","56","0","155","0","14","0","-30.6","0,0129,","203",",0,1230,+","178",",0,1228,","102.1",",0,0612,","36.1","0,0712,","-0.6","0,1001","-3.3","0,1017","-11.1","0,1102","-11.1","0,1102","-11.1","0,1102","-2.8","0,0510","-2.8","0,0510","-6.7","0,0421","-6.7","0,0421","-8.9","0,0325","3731.7","","3731.7","0","587.7",",0","390",",0","8.67","0","15.03","0","2.31","0"
"USC00130200","1967","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","324.3","","324.3","0","91","0","52","0","34","","4","0","16","0","150","0","44","0","151","0","8","0","-28.9","0,0118,","178",",0,0101,","76",",0,0126,","56.4",",0,0605,","37.8","0,0525,","0.0","0,0929","-3.3","0,1011","-4.4","0,1027","-6.7","0,1028","-8.9","0,1123","-1.7","0,0503","-2.2","0,0502","-5.0","0,0319","-12.8","0,0318","-12.8","0,0318","3709.6","","3709.6","0","678.0",",0","302",",0","8.87","0","15.17","0","2.57","0"
"USC00130200","1968","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","433.8","","433.8","0","100","0","51","0","31","","7","0","20","0","142","0","46","0","151","0","16","0","-27.8","0,0107,","178",",0,0113,+","178",",0,0112,","68.3",",0,0423,","35.0","0,0823,+","-2.2","0,1004","-2.2","0,1004","-4.4","0,1029","-8.3","0,1109","-11.7","0,1112","-2.2","0,0425","-2.2","0,0425","-6.7","0,0405","-6.7","0,0405","-8.9","0,0323","3682.5","","3682.5","0","905.4",",0","618",",0","9.29","0","15.49","0","3.10","0"
"USC00130200","1969","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","410.7","","410.7","0","109","0","69","0","101","","14","0","19","0","155","0","79","0","143","0","8","0","-26.7","0,0101,","229",",0,0228,","191",",0,0228,","51.8",",0,0726,","33.3","0,0714,+","-3.3","0,1014","-3.3","0,1014","-5.6","0,1027","-6.7","0,1113","-11.1","0,1114","0.0","0,0512","-3.3","0,0401","-9.4","0,0331","-9.4","0,0331","-9.4","0,0331","4072.5","","4072.5","0","810.4",",0","942",",0","8.26","0","13.80","0","2.71","0"
"USC00130200","1970","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","517.5","","517.5","0","97","0","55","0","","","","","21","0","153","0","54","0","151","0","21","0","-32.2","0,0121,","","","","","119.6",",0,0513,","35.6","0,0629,","-1.7","0,1010","-3.3","0,1114","-9.4","0,1115","-9.4","0,1115","-9.4","0,1115","-2.8","0,0502","-2.8","0,0502","-4.4","0,0404","-7.2","0,0402","-13.3","0,0328","3966.6","","3966.6","0","905.1",",0","","","8.88","0","14.77","0","2.99","0"
"USC00130200","1971","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","500.8","","500.8","0","90","0","58","0","87","","12","0","18","0","144","0","59","0","160","0","24","0","-27.2","0,0106,","406",",0,0108,+","229",",0,0104,","52.8",",0,0630,","35.6","0,0628,+","-0.6","0,1010","-2.2","0,1031","-5.6","0,1104","-11.7","0,1107","-11.7","0,1107","0.0","0,0415","-2.2","0,0414","-4.4","0,0405","-10.0","0,0324","-10.0","0,0324","3963.4","","3963.4","0","708.6",",0","1271",",0","9.24","0","15.14","0","3.34","0"
"USC00130200","1972","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","429.2","","429.2","0","109","0","73","0","80","","12","0","32","0","156","0","62","0","141","0","24","0","-29.4","0,0115,","305",",0,0211,+","185",",0,1212,","54.9",",0,0801,","33.9","0,0710,+","-1.7","0,0930","-2.8","0,1015","-10.6","0,1019","-10.6","0,1019","-10.6","0,1019","-0.6","0,0425","-7.8","0,0408","-7.8","0,0408","-7.8","0,0408","-10.0","0,0308","3823.4","","3823.4","0","943.7",",0","956",",0","8.01","0","13.72","0","2.30","0"
"USC00130200","1973","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","448.3","","448.3","0","122","0","82","0","63","","12","0","16","0","126","0","49","0","149","0","14","0","-26.7","0,0109,","305",",0,0409,","229",",0,0409,","71.4",",0,1011,","34.4","0,0609,","0.0","0,1029","-2.2","0,1030","-8.3","0,1105","-8.3","0,1105","-8.9","0,1109","-0.6","0,0502","-3.3","0,0413","-8.9","0,0411","-8.9","0,0411","-8.9","0,0411","3842.4","","3842.4","0","1146.3",",0","1035",",0","9.75","0","15.10","0","4.39","0"
"USC00130200","1974","42.0208","-93.7741","335.0","AMES 8 WSW, IA US","395.5","","395.5","0","96","0","61","0","55","","11","0","14","0","152","0","51","0","142","0","21","0","-31.7","0,0112,","178",",0,0113,+","89",",0,0122,","67.3",",0,0609,","36.7","0,0721,","-1.7","0,0922","-3.9","0,1002","-4.4","0,1007","-8.9","0,1115","-8.9","0,1115","0.0","0,0506","-4.4","0,0408","-4.4","0,0408","-17.8","0,0324","-17.8","0,0324","3678.7","","3678.7","0","947.7",",0","773",",0","9.09","0","14.98","0","3.20","0"
